codigo,titulo,fecha_estreno,origen_pelicula,entradas,recaudacion
64260025,ICONO INFINITO: UNA MEMORIA VISUAL,2026-01-29,Extranjeras,13,120500.00
64260026,THE SOUFFLEUR,2026-01-29,Extranjeras,3759,21153500.00
64260027,THE ROSE: REGRESA A MI,2026-02-12,Extranjeras,607,5543195.54
64260028,SÓLO NECESITAS MATAR,2026-02-05,Extranjeras,1131,8398891.35
64260029,AÚN ES DE NOCHE EN CARACAS,2026-02-05,Extranjeras,4092,28615767.74
64260031,HAMNET,2026-02-05,Extranjeras,166624,1223629818.61
64260032,STRAY KIDS: THE DOMINATE EXPERIENCE,2026-02-05,Extranjeras,65528,767626208.84
64260033,EL DÍA DEL FIN DEL MUNDO: MIGRACIÓN,2026-01-29,Extranjeras,78042,554537774.91
64260034,CUMBRES BARRASCOSAS,2026-02-12,Extranjeras,624762,4114277332.64
64260035,TARDES DE SOLEDAD,2026-02-12,Extranjeras,899,5243690.92
64260036,NO ME SIGAS,2026-02-05,Extranjeras,388,1973054.53
